incident_number,calendaryear,month,incdate,problem,responsearea,prioritydescription,council_district,location,longitude,latitude
22003657,2022,Jan,01/07/2022 12:00:00 AM,BOXL- Structure Fire,00-0101,1F,9,"(-97.734616,30.266807)",-97.734616,30.266807
22003662,2022,Jan,01/07/2022 12:00:00 AM,BOXL- Structure Fire,00-0303,1F,9,"(-97.741431,30.304425)",-97.741431,30.304425
22004324,2022,Jan,01/09/2022 12:00:00 AM,BOX -Structure Fire,00-0604,1F,9,"(-97.750933,30.256929)",-97.750933,30.256929
22004487,2022,Jan,01/09/2022 12:00:00 AM,BOXS - Still Box Alarm,04-4408,1F,6,"(-97.744443,30.443084)",-97.744443,30.443084
22004598,2022,Jan,01/09/2022 12:00:00 AM,BOXMID -MIDRISE Structure Fire,00-1602,1F,4,"(-97.702218,30.336554)",-97.702218,30.336554
22004906,2022,Jan,01/10/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0303,1F,9,"(-97.744954,30.300158)",-97.744954,30.300158
22005057,2022,Jan,01/10/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2005,1F,2,"(-97.789763,30.197935)",-97.789763,30.197935
22005099,2022,Jan,01/10/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1905,1F,10,"(-97.763346,30.329348)",-97.763346,30.329348
22005187,2022,Jan,01/11/2022 12:00:00 AM,BOX -Structure Fire,00-2401,1F,2,"(-97.748077,30.186644)",-97.748077,30.186644
22005419,2022,Jan,01/11/2022 12:00:00 AM,BOXS - Still Box Alarm,00-2202,1F,3,"(-97.727876,30.227509)",-97.727876,30.227509
22005532,2022,Jan,01/11/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3809,1F,6,"(-97.770386,30.455038)",-97.770386,30.455038
22005661,2022,Jan,01/12/2022 12:00:00 AM,BOX -Structure Fire,00-1701,1F,3,"(-97.770483,30.224920)",-97.770483,30.22492
22006076,2022,Jan,01/12/2022 12:00:00 AM,BOXS - Still Box Alarm,00-4403,1F,6,"(-97.764606,30.445108)",-97.764606,30.445108
22006226,2022,Jan,01/13/2022 12:00:00 AM,BOX -Structure Fire,00-1903,1F,10,"(-97.756641,30.355105)",-97.756641,30.355105
22006262,2022,Jan,01/13/2022 12:00:00 AM,BOXL- Structure Fire,00-0603,1F,9,"(-97.756965,30.245604)",-97.756965,30.245604
22006391,2022,Jan,01/13/2022 12:00:00 AM,BOXS - Still Box Alarm,00-3102,1F,10,"(-97.791275,30.363743)",-97.791275,30.363743
22006423,2022,Jan,01/13/2022 12:00:00 AM,BOXL- Structure Fire,00-1001,1F,10,"(-97.767128,30.291929)",-97.767128,30.291929
22006554,2022,Jan,01/13/2022 12:00:00 AM,BOX -Structure Fire,00-3001,1F,4,"(-97.695013,30.377626)",-97.695013,30.377626
22006574,2022,Jan,01/13/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1201,1F,7,"(-97.746601,30.325176)",-97.746601,30.325176
22006686,2022,Jan,01/14/2022 12:00:00 AM,BOXL- Structure Fire,00-1204,1F,4,"(-97.727918,30.323469)",-97.727918,30.323469
22006736,2022,Jan,01/14/2022 12:00:00 AM,BOX -Structure Fire,00-2001,1F,5,"(-97.807566,30.211008)",-97.807566,30.211008
22007278,2022,Jan,01/15/2022 12:00:00 AM,BOX -Structure Fire,00-2203,1F,3,"(-97.717205,30.237520)",-97.717205,30.23752
22007305,2022,Jan,01/15/2022 12:00:00 AM,BOX -Structure Fire,00-2205,1F,3,"(-97.696972,30.229565)",-97.696972,30.229565
22007540,2022,Jan,01/15/2022 12:00:00 AM,BOX -Structure Fire,00-1604,1F,4,"(-97.721620,30.333410)",-97.72162,30.33341
22007804,2022,Jan,01/16/2022 12:00:00 AM,BOXMAR - Marina Fire,00-3110,1F,10,"(-97.790855,30.343894)",-97.790855,30.343894
22007996,2022,Jan,01/16/2022 12:00:00 AM,BOXS - Still Box Alarm,00-1205,1F,9,"(-97.732472,30.313530)",-97.732472,30.31353
22008302,2022,Jan,01/17/2022 12:00:00 AM,BOX -Structure Fire,00-4904,1F,5,"(-97.779043,30.135138)",-97.779043,30.135138
22008518,2022,Jan,01/17/2022 12:00:00 AM,BOXS - Still Box Alarm,00-0303,1F,9,"(-97.739096,30.301198)",-97.739096,30.301198
22008585,2022,Jan,01/17/2022 12:00:00 AM,BOX -Structure Fire,00-2306,1F,4,"(-97.691951,30.352645)",-97.691951,30.352645
