county,tract_code,population,total_units,"1-unit, detached","1-unit, attached",total_units_age,Built 2010-2019,Built 2020 or later,Built 1939 or earlier,single_family_units,multifamily_units,pct_single_family,pct_built_2010_plus,pct_built_pre1970,median_income,land_area_m2,population_density,urban_class
453,001915,3154,1836,317,85,1836,950,14,0,402,1434,21.895424836601308,52.505446623093675,0.0,89279,6181361,1321.5309702830816,OUTER_SUBURBAN
453,001916,3135,993,993,0,993,49,0,13,993,0,100.0,4.934541792547835,1.3091641490433032,250001,13455400,603.4491728228072,OUTER_SUBURBAN
453,001917,4440,1559,1426,63,1559,32,7,0,1489,70,95.50994227068634,2.5016035920461834,0.0,211042,8095859,1420.4298765578797,OUTER_SUBURBAN
453,001918,2650,1060,910,32,1060,216,0,0,942,118,88.86792452830188,20.37735849056604,0.0,200536,8595834,798.4681881944208,OUTER_SUBURBAN
453,001919,3799,1306,1184,76,1306,172,11,0,1260,46,96.47779479326188,14.012251148545177,0.0,240368,4432254,2219.9562570195662,OUTER_SUBURBAN
453,001920,6857,2875,777,105,2875,693,0,15,882,1993,30.678260869565214,24.104347826086954,0.5217391304347827,87973,9915638,1791.0728487667661,OUTER_SUBURBAN
453,001921,3693,1812,1180,116,1812,547,0,0,1296,516,71.52317880794702,30.187637969094922,0.0,231500,22449712,426.057581495923,OUTER_SUBURBAN
453,001922,2123,1426,462,0,1426,117,13,23,462,964,32.398316970546986,9.1164095371669,1.6129032258064515,78767,2185775,2515.615742699958,OUTER_SUBURBAN
453,001923,3422,2051,663,120,2051,28,0,12,783,1268,38.17649926864944,1.3651877133105803,0.5850804485616773,116667,1782115,4973.292969308939,INNER_SUBURBAN
453,002002,2793,1375,1184,48,1375,208,23,0,1232,143,89.60000000000001,16.8,0.0,102500,1589727,4550.3850661151255,INNER_SUBURBAN
453,002003,3576,1639,826,88,1639,195,0,58,914,725,55.76571079926784,11.897498474679683,3.5387431360585726,70147,2044867,4529.31168628571,INNER_SUBURBAN
453,002004,3011,2160,202,170,2160,824,0,0,372,1788,17.22222222222222,38.148148148148145,0.0,60732,859067,9077.860050496643,INNER_SUBURBAN
453,002006,2363,1501,145,277,1501,54,0,42,422,1079,28.11459027315123,3.597601598934044,2.798134576948701,66946,727895,8408.039621099197,INNER_SUBURBAN
453,002007,2504,1440,313,340,1440,446,0,36,653,787,45.34722222222222,30.97222222222222,2.5,84773,874062,7419.79401918857,INNER_SUBURBAN
453,002104,2589,1198,881,16,1198,25,0,19,897,301,74.87479131886478,2.0868113522537564,1.5859766277128546,112083,1237911,5416.794906903647,INNER_SUBURBAN
453,002105,4818,2347,484,119,2347,78,0,69,603,1744,25.692373242437156,3.3233915636983387,2.93992330634853,50078,1935801,6446.230785085863,INNER_SUBURBAN
453,002106,3012,1342,1070,77,1342,55,0,0,1147,195,85.46944858420268,4.098360655737705,0.0,117125,1629279,4788.056557532504,INNER_SUBURBAN
453,002107,4884,1800,1218,225,1800,214,0,0,1443,357,80.16666666666666,11.88888888888889,0.0,94812,3057184,4137.650857782849,INNER_SUBURBAN
453,002108,4251,2124,1048,0,2124,374,39,0,1048,1076,49.34086629001883,19.444444444444446,0.0,46850,3377510,3259.8245453011245,INNER_SUBURBAN
453,002109,4121,1799,1265,100,1799,397,26,53,1365,434,75.87548638132296,23.513062812673706,2.9460811561978875,105819,2796792,3816.297386434172,INNER_SUBURBAN
453,002110,4037,1576,1122,60,1576,382,0,129,1182,394,75.0,24.238578680203045,8.185279187817258,86944,3614496,2892.7490859029863,OUTER_SUBURBAN
453,002111,4835,2214,1337,58,2214,841,65,128,1395,819,63.00813008130082,40.921409214092144,5.781391147244806,84201,6491872,1928.9736458143352,OUTER_SUBURBAN
453,002112,6244,2332,964,118,2332,432,9,15,1082,1250,46.39794168096055,18.910806174957116,0.6432246998284734,56029,1703455,9493.623253916305,INNER_SUBURBAN
453,002113,3564,1365,1130,65,1365,30,0,0,1195,170,87.54578754578755,2.197802197802198,0.0,117014,2094017,4408.159055060202,INNER_SUBURBAN
453,002201,2720,834,506,122,834,66,31,0,628,206,75.29976019184652,11.630695443645084,0.0,66136,5089677,1384.1349853831587,OUTER_SUBURBAN
453,002211,4700,1545,1144,0,1545,649,44,27,1144,401,74.04530744336569,44.85436893203884,1.7475728155339807,93472,6799962,1790.157062642409,OUTER_SUBURBAN
453,002213,4776,1577,763,0,1577,411,78,1,763,814,48.38300570703868,31.008243500317057,0.06341154090044387,82227,3270957,3781.718928130208,INNER_SUBURBAN
453,002214,3986,875,496,0,875,25,0,24,496,379,56.68571428571428,2.857142857142857,2.742857142857143,74388,9488862,1087.9850502620861,OUTER_SUBURBAN
453,002215,3646,1179,1000,0,1179,327,55,0,1000,179,84.81764206955047,32.40033927056828,0.0,68379,11588866,814.8459046812691,OUTER_SUBURBAN
453,002216,9411,3580,3425,0,3580,1604,99,4,3425,155,95.6703910614525,47.56983240223464,0.11173184357541899,93667,56128548,434.261901804408,OUTER_SUBURBAN
453,002217,6160,2100,2006,0,2100,643,316,18,2006,94,95.52380952380952,45.666666666666664,0.8571428571428572,98576,32597318,489.43903912585694,OUTER_SUBURBAN
453,002218,5019,1745,1595,30,1745,290,33,0,1625,120,93.12320916905445,18.51002865329513,0.0,100868,35650726,364.6267960994679,OUTER_SUBURBAN
